index,BriCond,BriLen,chainage,lat,lon,lrp,type,Object Name,distance
148,,,62.269,23.5042778,90.9354163,LRP063,Road,Road148,8.392064708
149,,,62.278,23.5043333,90.9354719,LRP063a,Road,Road149,178.1294473
150,,,62.542,23.5038611,90.9371386,LRP063b,Road,Road150,437.0520093
151,,,62.894,23.5028611,90.9412774,LRP063c,Road,Road151,206.8564196
14610,B,6,63.098,23.50240778,90.94324189,LRP064a,Bridge,Bridge14610,0
14610,B,,63.098,23.50240778,90.94324189,LRP064a,Output@Bridge,Output@Bridge14610,173.3948674
152,,,63.269,23.5020278,90.9448886,LRP064,Road,Road152,265.6370336
60,A,3,63.538,23.50135519,90.94738441,LRP064c,Bridge,Bridge60,0
60,A,,63.538,23.50135519,90.94738441,LRP064c,Output@Bridge,Output@Bridge60,721.8675371
153,,,64.269,23.4995274,90.9541667,LRP065,Road,Road153,1121.984925
154,,,65.269,23.4986386,90.9651111,LRP066,Road,Road154,113.9440443
155,,,65.543,23.4980552,90.9660278,LRP066a,Road,Road155,170.9950237
156,,,65.726,23.4972774,90.9674716,LRP067,Road,Road156,446.5802786
14611,B,4.6,66.178,23.49589631,90.97157725,LRP067a,Bridge,Bridge14611,0
14611,B,,66.178,23.49589631,90.97157725,LRP067a,Output@Bridge,Output@Bridge14611,541.4347191
157,,,66.726,23.4942219,90.9765549,LRP068,Road,Road157,665.9752992
158,,,67.42,23.4951386,90.9829993,LRP068a,Road,Road158,305.8389641
159,,,67.726,23.4942497,90.985833,LRP069,Road,Road159,314.2554982
61,A,4.5,68.04,23.49327281,90.98872004,LRP068a,Bridge,Bridge61,0
61,A,,68.04,23.49327281,90.98872004,LRP068a,Output@Bridge,Output@Bridge61,686.5653217
160,,,68.726,23.4911386,90.9950274,LRP070,Road,Road160,866.2034835
161,,,69.616,23.4894441,91.0033056,LRP070a,Road,Road161,18.10160428
162,,,69.638,23.4893886,91.0034722,LRP070b,Road,Road162,88.63413869
163,,,69.709,23.4896108,91.0043056,LRP071,Road,Road163,712.846153
164,,,70.443,23.4893052,91.0112778,LRP072,Road,Road164,81.49565041
165,,,70.527,23.4890552,91.0120278,LRP072a,Road,Road165,25.84534023
166,,,70.557,23.4889441,91.01225,LRP072b,Road,Road166,199.2086908
167,,,70.755,23.488333,91.0140833,LRP073,Road,Road167,390.7822096
12722,C,22.55,71.156,23.48688059,91.01756669,LRP072a,Bridge,Bridge12722,0
12722,C,,71.156,23.48688059,91.01756669,LRP072a,Output@Bridge,Output@Bridge12722,603.2344042
168,,,71.775,23.4846386,91.0229438,LRP074,Road,Road168,961.6217584
169,,,72.775,23.4827771,91.0321382,LRP075,Road,Road169,867.047848
170,,,73.688,23.481166,91.0404441,LRP075a,Road,Road170,159.7032056
171,,,73.829,23.4814716,91.0419719,LRP076,Road,Road171,446.979494
